"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch008.xhtml#verse-Deuteronomy-6-7","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch008.xhtml#verse-Deuteronomy-32-46","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch008.xhtml#verse-Deuteronomy-29-22","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch033.xhtml#verse-Amos-4-11","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch006.xhtml#verse-Levitikus-18-7","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch008.xhtml#verse-Deuteronomy-2-19","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-11-11","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch048.xhtml#verse-Romans-4-19","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch048.xhtml#verse-Romans-9-7","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-11-18","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-11-17","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-6-13","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-11-12","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch051.xhtml#verse-Galater-3-16","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch042.xhtml#verse-Maleachi-1-2","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch048.xhtml#verse-Romans-9-10","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-11-20","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch006.xhtml#verse-Levitikus-18-18","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch023.xhtml#verse-Proverbs-16-7","","","",""
